AD001,AD,BC,P01-P09
AD001,AD,lox,P01-P09
AD002,AD,BC,P02-P10
AD002,AD,lox,P02-P10
AD003,AD,BC,P03-P11
AD003,AD,lox,P03-P11
AD004,AD,BC,P04-P12
AD004,AD,lox,P04-P12
AD005,AD,BC,P05-P13
AD005,AD,lox,P05-P13
AD006,AD,BC,P06-P14
AD006,AD,lox,P06-P14
AD007,AD,BC,P07-P15
AD007,AD,lox,P07-P15
AD008,AD,BC,P08-P16
AD008,AD,lox,P08-P16
DB001,DB,BC,P01-P09
DB001,DB,lox,P01-P09
DB002,DB,BC,P02-P10
DB002,DB,lox,P02-P10
DB003,DB,BC,P03-P11
DB003,DB,lox,P03-P11
DB004,DB,BC,P04-P12
DB004,DB,lox,P04-P12
DB005,DB,BC,P05-P13
DB005,DB,lox,P05-P13
DB006,DB,BC,P06-P14
DB006,DB,lox,P06-P14
DB007,DB,BC,P07-P15
DB007,DB,lox,P07-P15
DB008,DB,BC,P08-P16
DB008,DB,lox,P08-P16